Time (sec),Day fraction since midnight on,pH probe (pH)
,Pump On,
0,0.632738534,6.014700413
1.00053792,0.632750114,6.030983925
2.00137824,0.632761698,6.034451485
3.0013632,0.632773272,6.03104496
4.00032864,0.632784834,6.014193058
5.00042592,0.632796409,6.030749798
6.000912,0.632807989,6.029810429
6.99974784,0.63281955,6.041774273
7.99946496,0.63283112,6.032907009
8.99947584,0.632842695,6.032905579
10.00034208,0.632854279,6.021557331
10.99978272,0.632865846,5.996398449
11.99997504,0.632877423,5.99235487
12.99996864,0.632888997,5.995644093
14.00048064,0.632900577,5.979907036
14.99961888,0.632912141,5.97320509
15.99997536,0.632923719,5.977766514
16.999632,0.632935289,5.972869396
18.00028224,0.632946871,5.965122223
19.00069056,0.632958449,5.96053648
20.00054592,0.632970022,5.974075317
21.00132576,0.632981605,5.96657896
21.99970368,0.63299316,5.966081619
23.00082912,0.633004747,5.967910767
24.00007104,0.633016313,5.957076073
25.00123968,0.6330279,5.95334959
26.00008416,0.633039461,5.941805363
26.99941248,0.633051027,5.939625263
28.00041696,0.633062613,5.934133053
29.00105856,0.633074194,5.938093185
30.00043008,0.633085761,5.933864594
31.00106304,0.633097343,5.928132534
32.00024448,0.633108907,5.920644283
32.99928768,0.63312047,5.924778462
33.9996096,0.633132048,5.925195694
34.9994304,0.63314362,5.918828964
36.0012384,0.633155215,5.903559685
37.00100736,0.633166786,5.898448467
37.99976544,0.633178346,5.899936199
38.9992752,0.633189914,5.890668392
39.9996144,0.633201492,5.881780624
40.99951296,0.633213065,5.876062393
42.00018048,0.633224647,5.881551266
43.00005312,0.63323622,5.881490707
44.0004528,0.633247798,5.865765572
45.0007488,0.633259376,5.850618362
45.99947232,0.633270935,5.855066776
47.0000016,0.633282515,5.845926762
47.99990016,0.633294088,5.845953465
48.99950496,0.633305658,5.839916706
49.99994784,0.633317237,5.827861309
50.99988096,0.63332881,5.790825367
52.0000992,0.633340387,5.795484543
52.99959168,0.633351955,5.795508385
54.00131328,0.633363549,5.779765129
55.00013184,0.63337511,5.768505573
56.00092896,0.633386693,5.748103619
56.99982528,0.633398254,5.743805885
58.00108032,0.633409843,5.73818779
59.00065056,0.633421412,5.727088451
60.0001776,0.63343298,5.703780174
60.99916896,0.633444543,5.685340881
61.99943904,0.63345612,5.661798954
63.00045216,0.633467706,5.65822649
63.99956448,0.63347927,5.632714272
64.99995552,0.633490848,5.626166344
65.99945664,0.633502417,5.621256352
67.00021056,0.633513999,5.599889278
67.99997088,0.633525571,5.589291573
69.00058656,0.633537152,5.567442417
69.9999408,0.633548718,5.531502724
71.00004672,0.633560294,5.49504137
72.00054144,0.633571874,5.477254868
72.99990432,0.63358344,5.465219975
74.0008224,0.633595025,5.440760136
74.99901888,0.633606578,5.411151886
76.00096512,0.633618175,5.40245676
76.99910976,0.633629727,5.392594814
77.99946624,0.633641306,5.378301621
78.99935616,0.633652878,5.343967438
80.00086176,0.63366447,5.311344624
81.00063936,0.633676041,5.274394035
81.9997344,0.633687605,5.237365246
82.99949472,0.633699176,5.20020771
83.9994624,0.63371075,5.192574501
84.99953376,0.633722325,5.17127943
85.99930272,0.633733896,5.140980721
86.99962464,0.633745474,5.13336277
88.0007328,0.633757061,5.094944954
88.99919712,0.633768617,5.064621449
89.99980416,0.633780198,5.03882885
91.00020384,0.633791777,5.002278805
92.00018016,0.633803351,4.996576309
93.00011328,0.633814924,4.986050606
93.99907872,0.633826486,4.949785233
94.99938336,0.633838064,4.926264286
95.99948928,0.633849639,4.920825958
96.9995952,0.633861214,4.896334171
98.00022816,0.633872796,4.869564056
98.9996256,0.633884363,4.854831696
100.0006819,0.633895949,4.833177567
100.9988611,0.633907502,4.804103851
101.9992781,0.633919081,4.795136452
102.9993581,0.633930656,4.776636601
103.9989888,0.633942226,4.753978729
105.0004858,0.633953817,4.745462418
105.9999091,0.633965385,4.734833717
106.998961,0.633976948,4.72384882
107.9996544,0.63398853,4.699828625
108.999337,0.6340001,4.692937851
110.000687,0.63401169,4.691206932
110.9990131,0.634023245,4.68088007
111.9996029,0.634034826,4.664867401
112.9990694,0.634046394,4.658055782
114.0006787,0.634057986,4.64606905
114.9998256,0.63406955,4.636498451
115.9993008,0.634081118,4.627110004
116.9996573,0.634092697,4.60186863
118.0002643,0.634104278,4.601366997
118.9987373,0.634115834,4.59952879
120.000217,0.634127425,4.585287571
121.0004438,0.634139002,4.590155602
122.0002042,0.634150573,4.587257385
122.9999818,0.634162145,4.574242592
123.9988003,0.634173705,4.567684174
125.0003578,0.634185297,4.556415081
125.9996342,0.634196863,4.545647621
127.0003882,0.634208446,4.541427612
128.0004163,0.63422002,4.529651642
129.0001594,0.634231591,4.529270172
129.9995827,0.634243159,4.529026032
130.9992307,0.634254729,4.524612904
131.9994749,0.634266306,4.513777733
132.9989414,0.634277874,4.518378258
133.9990301,0.634289449,4.512417793
134.9996717,0.63430103,4.506829739
135.9993542,0.634312601,4.509089947
136.9992874,0.634324174,4.493376732
137.9991341,0.634335746,4.489869595
138.9986611,0.634347315,4.488804817
139.9995187,0.634358899,4.484995365
140.9996333,0.634370474,4.482899666
141.9988666,0.634382039,4.477126122
143.0005536,0.634393633,4.479373932
143.9997523,0.634405198,4.477834225
145.000247,0.634416778,4.472662926
145.9989014,0.634428336,4.473958969
146.9998886,0.634439922,4.474472523
147.9995712,0.634451492,4.47184515
148.9992624,0.634463062,4.458665848
149.998919,0.634474633,4.450551987
151.0001654,0.634486221,4.445008755
151.9988544,0.63449778,4.445879936
152.9987098,0.634509352,4.443847179
153.998928,0.634520929,4.442649841
155.0004163,0.63453252,4.440929413
155.9985869,0.634544073,4.439346314
156.9993149,0.634555656,4.435822487
157.9989888,0.634567226,4.438858032
159.0003734,0.634578816,4.434565544
159.9991834,0.634590376,4.437877178
160.9997472,0.634601957,4.425518036
161.9990842,0.634613523,4.424664974
162.9999158,0.634625107,4.414573193
163.9992269,0.634636673,4.419182301
164.9999462,0.634648256,4.417957783
165.9985229,0.634659813,4.419290066
166.9993546,0.634671397,4.421039581
167.999737,0.634682975,4.416517735
168.9996528,0.634694548,4.420052052
169.9985405,0.63470611,4.417743206
170.9990525,0.63471769,4.414492607
172.0007741,0.634729284,4.412605286
172.9984954,0.634740831,4.41646862
173.9985494,0.634752406,4.410224915
174.9992947,0.634763989,4.40941143
176.0000141,0.634775571,4.408816338
176.9991264,0.634787135,4.403394699
178.0000618,0.63479872,4.40143919
178.999321,0.634810285,4.396614075
179.9984938,0.63482185,4.396760464
180.9994291,0.634833435,4.387056828
181.9991203,0.634845005,4.389457226
182.99952,0.634856584,4.38604784
184.0002566,0.634868167,4.393278122
184.9992221,0.634879729,4.389657497
185.9987318,0.634891297,4.384687901
186.999097,0.634902875,4.384014607
187.9999114,0.634914459,4.381549835
189.000121,0.634926035,4.380758286
189.9999158,0.634937607,4.382577896
191.0000909,0.634949183,4.384098053
191.9989008,0.634960743,4.38075304
192.9993178,0.634972322,4.381794453
194.0000544,0.634983905,4.385220528
194.9992099,0.634995469,4.377429009
195.9991949,0.635007043,4.373804092
196.9993786,0.635018619,4.37863636
197.9997955,0.635030198,4.375310898
199.0001347,0.635041776,4.37463665
199.9988669,0.635053336,4.373805046
200.9992061,0.635064914,4.363380909
201.9984566,0.635076479,4.366634846
202.9991328,0.635088061,4.365641117
203.9997917,0.635099643,4.367053986
204.9986621,0.635111204,4.365159988
205.9992086,0.635122784,4.368756771
206.9991072,0.635134357,4.371610642
207.9992736,0.635145933,4.371552467
208.9989389,0.635157503,4.371031284
209.9993904,0.635169082,4.37259531
210.9991248,0.635180653,4.372499943
211.9988074,0.635192224,4.364307404
212.999112,0.635203801,4.358826637
213.9987082,0.635215371,4.362984657
214.999272,0.635226951,4.349910736
215.9986003,0.635238518,4.352298737
217.0000454,0.635250109,4.349718094
217.9994429,0.635261676,4.351241112
219.0000326,0.635273257,4.352427483
219.9982982,0.635284811,4.351292133
220.9992941,0.635296396,4.352734089
221.9984928,0.635307961,4.348109722
222.9997738,0.63531955,4.351737022
223.99956,0.635331121,4.349184513
224.9986723,0.635342685,4.34935236
225.9984413,0.635354257,4.342342377
226.9980893,0.635365827,4.343198776
227.9981779,0.635377402,4.344911575
228.9994675,0.635388991,4.343136311
229.9986576,0.635400555,4.341050148
230.9994202,0.635412138,4.338078022
231.9986534,0.635423704,4.341054916
232.9992086,0.635435284,4.339902878
233.9984506,0.635446849,4.345959187
234.9999648,0.635458441,4.336867333
235.9998374,0.635470014,4.336033344
236.9987251,0.635481575,4.337956905
237.998304,0.635493144,4.334775925
238.9991875,0.635504728,4.334040642
239.9988614,0.635516299,4.337080479
240.9998314,0.635527884,4.33186388
241.9988832,0.635539447,4.333732128
242.999473,0.635551028,4.335742474
243.9979373,0.635562584,4.330280781
244.9990282,0.635574171,4.329461575
245.9989872,0.635585744,4.329269886
246.999335,0.635597323,4.327610016
247.9991904,0.635608895,4.334468842
248.9989421,0.635620466,4.323389053
249.9997219,0.635632049,4.320910931
250.998601,0.63564361,4.327132702
251.9998646,0.635655199,4.331157208
252.998113,0.635666753,4.334756374
253.9995149,0.635678343,4.332509995
254.9982643,0.635689903,4.328938007
255.9979123,0.635701473,4.328773499
256.9987786,0.635713057,4.326674461
257.9983056,0.635724625,4.325605869
258.9978672,0.635736194,4.32555151
259.9983187,0.635747774,4.323003769
260.9996861,0.635759364,4.325732231
261.9984614,0.635770924,4.324667931
262.9979971,0.635782492,4.323771477
263.9984486,0.635794072,4.326256752
264.9993926,0.635805657,4.322090149
265.9990147,0.635817226,4.321221829
266.9984122,0.635828793,4.321063042
267.9979046,0.635840362,4.321114063
268.998287,0.63585194,4.322142124
269.9992051,0.635863525,4.320491791
270.9986717,0.635875093,4.317329407
271.9982678,0.635886662,4.318715572
272.9982874,0.635898236,4.319796085
273.9978403,0.635909805,4.317533016
274.9982918,0.635921385,4.320041657
275.9982422,0.635932958,4.314232826
276.998089,0.63594453,4.313266277
277.9992922,0.635956118,4.317614555
278.9994845,0.635967695,4.312076569
279.999625,0.63597927,4.310326099
280.9979078,0.635990825,4.304467201
281.9986445,0.636002407,4.309123516
282.9994589,0.636013991,4.311058998
283.9987181,0.636025556,4.312493801
284.9991005,0.636037135,4.316673756
285.9978326,0.636048694,4.310458183
286.9981027,0.636060271,4.312662125
287.9976816,0.63607184,4.309184551
288.9985738,0.636083425,4.305635452
289.9977552,0.636094989,4.304445267
290.9986646,0.636106574,4.302948952
291.9985718,0.636118147,4.304004669
