time (sec),Day fraction since midnight on,pH probe (pH)
#VALUE!,Pump on,
0,0.642923677,7.017830372
0.999864,0.64293525,7.026865959
2.00081664,0.642946835,7.030241013
3.00033504,0.642958403,7.03673029
4.00095072,0.642969984,7.038979054
4.99984704,0.642981546,7.042706013
5.99982336,0.642993119,7.049616814
7.0006032,0.643004703,7.056932926
8.00061408,0.643016277,7.059826851
9.00026208,0.643027847,7.064070225
9.9997632,0.643039415,7.067778111
11.00003328,0.643050992,7.070177555
12.00050208,0.643062572,7.076007366
13.0005648,0.643074147,7.078757286
13.9997376,0.643085711,7.081456184
14.99997312,0.643097288,7.081819058
16.00101216,0.643108874,7.081799507
17.00028864,0.64312044,7.086894989
18.0006624,0.643132018,7.090878964
19.00107072,0.643143597,7.092645645
19.9997424,0.643155156,7.095412254
21.001248,0.643166747,7.098683834
21.99967776,0.643178303,7.099492073
22.99952448,0.643189875,7.101948261
24.00003648,0.643201455,7.107301712
25.00046208,0.643213034,7.106375217
26.00059392,0.64322461,7.107262135
26.99996544,0.643236177,7.104795456
28.00058112,0.643247758,7.104421139
29.0007216,0.643259334,7.105939865
30.0001968,0.643270902,7.105277538
31.00007808,0.643282474,7.105404854
32.00008032,0.643294048,7.107396603
33.00085152,0.643305631,7.108201504
33.99963552,0.643317191,7.107521057
34.99975872,0.643328767,7.108857632
36.00010656,0.643340345,7.113036633
36.99973728,0.643351915,7.113906384
38.00043936,0.643363497,7.115005016
39.00016512,0.643375068,7.114976406
40.00038336,0.643386644,7.117318153
41.00105952,0.643398226,7.11883688
42.00008544,0.643409789,7.1197896
42.9992496,0.643421354,7.120752811
44.0006256,0.643432944,7.119093895
45.00097344,0.643444522,7.121649265
46.00050912,0.64345609,7.120319843
47.00005344,0.643467659,7.11878109
48.00082464,0.643479242,7.122564793
48.99959136,0.643490802,7.114891052
49.99923936,0.643502372,7.114062786
51.00076224,0.643513964,7.114207268
52.00038432,0.643525533,7.115049839
52.99976448,0.6435371,7.116948605
53.99961984,0.643548673,7.117256641
54.99963936,0.643560247,7.119063854
56.0008512,0.643571835,7.120997429
57.00098304,0.643583411,7.122792244
57.99910176,0.643594963,7.11941576
59.0006592,0.643606555,7.123048306
59.9995728,0.643618117,7.122758865
60.99937632,0.643629688,7.118222714
61.99952544,0.643641264,7.121458054
63.00027072,0.643652847,7.124013901
64.00003968,0.643664418,7.125990391
64.99937664,0.643675985,7.120214462
65.99926656,0.643687557,7.121325016
67.0004352,0.643699145,7.121925354
68.00041152,0.643710719,7.123073101
69.00054336,0.643722294,7.124851704
69.99993216,0.643733861,7.122664452
70.99910496,0.643745426,7.122634411
71.99928864,0.643757002,7.123157978
72.9998784,0.643768583,7.120849609
73.9993968,0.643780152,7.120020866
75.00043584,0.643791738,7.122229576
76.000032,0.643803307,7.124234676
76.99997376,0.64381488,7.123284817
78.00007104,0.643826456,7.120942593
78.99987456,0.643838027,7.117699623
80.00071488,0.643849611,7.113898277
80.99893728,0.643861165,7.118009567
81.99945792,0.643872745,7.118018627
83.0006784,0.643884333,7.114317894
84.00082752,0.643895909,7.114562511
85.00081248,0.643907483,7.116152763
85.99930272,0.643919039,7.116334438
87.0003504,0.643930626,7.117238998
88.00054272,0.643942202,7.118134499
89.000856,0.64395378,7.117549896
89.99969184,0.64396534,7.117784977
91.00060128,0.643976925,7.11524868
91.99967904,0.643988488,7.115359783
93.00025152,0.644000069,7.110427856
93.99919968,0.644011631,7.114719868
95.00062752,0.644023221,7.117718697
95.99943744,0.644034782,7.116655827
97.00000128,0.644046362,7.116961956
97.99881984,0.644057923,7.116015434
98.99941824,0.644069504,7.10712719
99.999576,0.64408108,7.103000641
100.998913,0.644092646,7.098449707
102.0005482,0.644104239,7.032184601
102.9997123,0.644115803,7.068344593
103.9993949,0.644127374,7.079667091
105.0004771,0.64413896,7.084348202
105.9991661,0.644150519,7.08476162
107.0004125,0.644162108,7.084121704
107.9990237,0.644173666,7.090956211
108.9989395,0.644185239,7.091154099
109.9996157,0.644196821,7.088917732
110.9991514,0.644208389,7.092621803
112.0003027,0.644219977,7.097244263
112.9987584,0.644231533,7.095620155
114.0004454,0.644243127,7.077514172
114.999359,0.644254688,7.074920178
116.0001994,0.644266272,7.083982468
117.000288,0.644277847,7.086616993
117.998761,0.644289403,7.087096214
118.9991434,0.644300982,7.086073399
120.0000874,0.644312567,7.087594032
120.9996662,0.644324136,7.092352867
121.9997462,0.644335711,7.089406967
122.9996016,0.644347284,7.092407703
124.0006061,0.644358869,7.121367931
124.9998134,0.644370434,7.147681713
126.0002218,0.644382013,7.128330708
127.0000339,0.644393585,7.118899822
128.0005286,0.644405165,7.117591858
128.9995718,0.644416728,7.114620209
130.0006022,0.644428314,7.108006954
130.9994294,0.644439874,7.100331307
132.0005722,0.644451461,7.096088409
133.0000819,0.64446303,7.091542721
133.9989437,0.644474591,7.089016914
135.0003715,0.644486181,7.085146427
135.9996134,0.644497747,7.081783772
137.0005574,0.644509332,7.073300362
137.9996352,0.644520895,7.071421146
138.9992746,0.644532465,7.072789669
140.0001322,0.644544049,7.073721409
141.0005318,0.644555628,7.071495056
141.9997133,0.644567192,7.06491375
143.0011584,0.644578783,7.061601639
144.0000288,0.644590344,7.063081741
144.999625,0.644601913,7.054655552
145.998599,0.644613476,7.051959038
146.9993702,0.644625059,7.048503876
147.9987677,0.644636626,7.050082207
149.0000659,0.644648215,7.047164917
150.000241,0.644659791,7.04959774
150.999336,0.644671355,7.050600052
152.0001936,0.644682939,7.0481534
152.9998502,0.644694509,7.046821117
153.9994723,0.644706078,7.045253754
154.9985933,0.644717642,7.043244362
156.0003926,0.644729237,7.040329933
156.9985632,0.64474079,7.046164513
157.9986518,0.644752365,7.043684959
158.99868,0.64476394,7.034358978
159.9984403,0.644775511,7.033617497
160.9999546,0.644787102,7.0301404
161.9996717,0.644798673,7.028487682
162.9998813,0.64481025,7.027336121
163.9985616,0.644821809,7.030091286
164.9987107,0.644833384,7.022070408
