Day fraction since midnight on 	Photometer (mg/L)	Run Pump ()
0.61708763	1.000815511	1
0.617145504	1.000916958	1
0.617203384	1.000994444	1
Test Start 25 mg/L		
0.617261244	1.000938177	1
0.61731912	1.000947595	1
0.617376976	1.001191497	1
0.617434858	1.00240016	1
0.617492736	1.005276322	1
0.617550588	1.013143659	1
0.617608479	1.079045296	1
0.617666348	1.608409762	1
0.617724208	2.92973876	1
0.617782086	3.805724382	1
0.617839959	5.293132305	1
0.617897815	5.308998585	1
0.617955683	6.29925108	1
0.618013574	7.982419014	1
0.618071437	10.02966404	1
0.618129305	11.23335361	1
0.618187185	11.79238987	1
0.618245048	12.78245163	1
0.618302906	13.45332527	1
0.618360791	15.19786644	1
0.618418662	13.59331226	1
0.61847652	15.37302017	1
0.6185344	15.75292778	1
0.618592274	17.62822914	1
0.618650135	22.38199615	1
0.618708017	19.7802372	1
0.61876588	20.48909378	1
0.618823746	20.97047043	1
0.618881617	21.46243095	1
0.618939479	21.14840508	1
0.618997352	20.89357185	1
0.619055228	20.03004074	1
0.619113096	20.44952583	1
0.619170981	20.28363419	1
0.619228852	20.00066566	1
0.619286716	18.68912888	1
0.619344579	18.7384243	1
0.619402449	17.56056023	1
0.61946032	17.38916397	1
0.619518183	17.91788673	1
0.619576059	17.50188255	1
0.619633938	16.99205589	1
0.619691823	17.35833359	1
0.619749664	16.80672455	1
0.619807535	16.79938698	1
0.619865425	17.09786034	1
0.619923297	16.98746872	1
0.619981157	16.74980354	1
0.620039026	16.65387344	1
0.62009689	16.61610794	1
0.620154761	16.60383034	1
0.620212638	16.59645844	1
0.620270514	16.66764641	1
0.620328383	16.48493004	1
0.620386259	16.57093811	1
0.62044412	16.44617653	1
0.620501979	16.2619648	1
0.620559849	16.24998093	1
0.620617721	16.04257202	1
0.62067559	16.14022827	1
0.620733459	16.05722809	1
0.620791331	16.04941177	1
0.6208492	16.08974648	1
0.620907084	15.98043346	1
0.62096496	15.61175919	1
0.621022828	15.61955357	1
0.621080694	15.3883543	1
0.621138566	15.06703663	1
0.621196431	14.58989716	1
0.62125431	14.27710342	1
0.621312169	14.55018234	1
0.621370038	14.45932961	1
0.62142791	14.51644516	1
0.621485777	14.12679291	1
0.621543663	14.06793404	1
0.621601536	13.78906059	1
0.621659407	13.61093998	1
0.621717269	13.5670681	1
0.621775131	13.30969429	1
0.621833005	12.99713612	1
0.621890879	12.94363499	1
0.621948753	12.63591194	1
0.622006615	12.569664	1
0.6220645	12.47811985	1
0.622122362	12.18134117	1
0.622180224	11.91129303	1
0.6222381	11.65717793	1
0.622295963	11.67309284	1
0.622353848	11.56450462	1
0.622411722	11.18561554	1
0.622469584	10.97375965	1
0.622527457	10.76641846	1
0.62258532	10.39515972	1
0.622643194	10.35586739	1
0.622701052	10.05080414	1
0.622758941	9.829824448	1
0.622816799	9.818136215	1
0.62287468	9.853886604	1
0.622932537	9.649074554	1
0.622990413	9.391308785	1
0.62304828	9.386289597	1
0.623106156	9.215995789	1
0.623164025	8.963129997	1
0.62322191	8.821507454	1
0.623279764	8.664149284	1
0.623337656	8.543311119	1
0.623395501	8.479498863	1
0.623453386	8.262800217	1
0.62351126	8.015570641	1
0.623569122	7.904593468	1
0.623626981	7.740259647	1
0.623684868	7.571750641	1
0.623742741	7.581537247	1
0.6238006	7.534581184	1
0.62385846	7.382079125	1
0.623916336	7.259593964	1
0.623974215	7.081087589	1
0.624032079	6.803282738	1
0.624089942	6.796391964	1
0.624147825	6.646535873	1
0.624205703	6.491972446	1
0.624263574	6.337650776	1
0.624321441	6.255125046	1
0.624379317	6.104682922	1
0.624437171	6.050146103	1
0.624495048	5.883936882	1
0.624552922	5.822851181	1
0.62461078	5.757033348	1
0.624668656	5.619625092	1
0.624726518	5.453661442	1
0.624784391	5.236190796	1
0.624842263	5.149722576	1
0.624900133	5.075766563	1
0.624958011	4.947482586	1
0.625015869	4.69182539	1
0.625073754	4.572751522	1
0.625131627	4.499391079	1
0.625189495	4.356777191	1
0.625247351	4.273205757	1
0.625305236	4.166497707	1
0.625363098	4.030712128	1
0.625420971	3.976148367	1
0.625478837	3.829243898	1
0.625536704	3.714968443	1
0.625594591	3.660874844	1
0.625652446	3.568110943	1
0.625710316	3.522969008	1
0.625768187	3.417579651	1
0.625826059	3.256175518	1
0.625883931	3.261506319	1
0.625941815	3.11750555	1
0.625999686	3.020775557	1
0.626057534	3.003054619	1
0.626115409	2.870750189	1
0.626173295	2.830901623	1
0.626231177	2.737800837	1
0.626289037	2.649014711	1
0.626346902	2.582866669	1
End		
