Day fraction since midnight on 	Photometer (mg/L)	Run Pump ()
0.608748212	1.003599644	1
0.608806072	1.003621221	1
0.608863941	1.003911734	1
dye in		
0.608921822	1.00368309	1
0.608979679	1.003191948	1
0.609037561	1.003277659	1
0.609095429	1.003303409	1
0.609153294	1.003366947	1
0.609211163	1.00351572	1
0.609269043	1.003178001	1
0.609326908	1.003341675	1
0.609384793	1.003222227	1
0.609442653	1.208450198	1
0.609500524	34.90487671	1
0.609558396	39.89165497	1
0.609616258	26.970644	1
0.60967413	14.76927662	1
0.609732002	7.098662853	1
0.609789875	3.048974037	1
0.609847745	1.452045322	1
0.60990562	1.110541344	1
0.609963486	1.050715923	1
0.61002135	1.028549433	1
0.61007923	1.019623518	1
0.610137101	1.014913321	1
dye out		
0.610194959	1.013444781	1
