Day fraction since midnight on ,Photometer (mg/L),Run Pump ()
0.596711183,0.999929309,1
0.596769038,0.999901772,1
0.596826914,0.999962628,1
0.596884789,1.000055552,1
0.596942652,1.000101447,1
0.597000531,0.99996984,1
0.597058383,1.000085235,1
0.597116258,1.000037909,1
0.597174142,0.99997437,1
0.597231999,0.999880612,1
0.597289878,0.99982965,1
0.59734774,0.999962628,1
0.597405613,0.999836862,1
0.597463496,0.999912143,1
0.597521355,1.000044704,1
0.597579238,0.999862135,1
0.597637099,0.999809861,1
0.59769496,0.999857605,1
0.597752836,0.999832392,1
start,,
0.5978107,0.999768376,1
0.597868568,0.999724209,1
0.597926461,0.999640346,1
0.597984311,0.999662876,1
0.598042201,0.999784589,1
0.59810005,0.999762535,1
0.598157923,0.999717414,1
0.598215792,0.99976027,1
0.598273683,0.999701679,1
0.598331541,0.999691725,1
0.598389417,0.999619186,1
0.598447276,31.96953011,1
0.598505164,67.85932159,1
0.598563029,63.40482712,1
0.598620887,42.12222672,1
0.598678771,19.43938255,1
0.598736627,6.682568073,1
0.598794494,1.448880553,1
0.598852382,1.022554755,1
0.59891024,1.005645752,1
0.598968114,1.002642393,1
0.599025982,1.001103163,1
dyes out,,
